10 batches ====> Validation Accuracy 0.068, Validation f1 0.023, Validation OOV Accuracy 0.064, Validation Loss 4.339
20 batches ====> Validation Accuracy 0.063, Validation f1 0.016, Validation OOV Accuracy 0.069, Validation Loss 3.957
30 batches ====> Validation Accuracy 0.059, Validation f1 0.010, Validation OOV Accuracy 0.079, Validation Loss 3.429
40 batches ====> Validation Accuracy 0.100, Validation f1 0.028, Validation OOV Accuracy 0.352, Validation Loss 3.145
50 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.155, Validation Loss 3.048
60 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.155, Validation Loss 3.020
70 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.155, Validation Loss 3.010
80 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.154, Validation Loss 2.997
90 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.154, Validation Loss 2.993
100 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.154, Validation Loss 2.987
110 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.184, Validation Loss 2.980
120 batches ====> Validation Accuracy 0.152, Validation f1 0.053, Validation OOV Accuracy 0.150, Validation Loss 2.975
130 batches ====> Validation Accuracy 0.152, Validation f1 0.053, Validation OOV Accuracy 0.149, Validation Loss 2.973
140 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.184, Validation Loss 2.967
150 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.185, Validation Loss 2.962
160 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.185, Validation Loss 2.961
170 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.185, Validation Loss 2.958
180 batches ====> Validation Accuracy 0.160, Validation f1 0.070, Validation OOV Accuracy 0.212, Validation Loss 2.954
190 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.185, Validation Loss 2.953
