10 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 4.172
20 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.767
30 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.385
40 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.153
50 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.062
60 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.025
70 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.012
80 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.150, Validation Loss 3.002
90 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.150, Validation Loss 2.994
100 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.149, Validation Loss 2.991
110 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.149, Validation Loss 2.983
120 batches ====> Validation Accuracy 0.152, Validation f1 0.053, Validation OOV Accuracy 0.145, Validation Loss 2.976
130 batches ====> Validation Accuracy 0.152, Validation f1 0.053, Validation OOV Accuracy 0.145, Validation Loss 2.975
140 batches ====> Validation Accuracy 0.152, Validation f1 0.053, Validation OOV Accuracy 0.145, Validation Loss 2.968
150 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.180, Validation Loss 2.965
160 batches ====> Validation Accuracy 0.152, Validation f1 0.053, Validation OOV Accuracy 0.146, Validation Loss 2.964
170 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.180, Validation Loss 2.958
180 batches ====> Validation Accuracy 0.157, Validation f1 0.064, Validation OOV Accuracy 0.180, Validation Loss 2.956
190 batches ====> Validation Accuracy 0.155, Validation f1 0.060, Validation OOV Accuracy 0.141, Validation Loss 2.953
200 batches ====> Validation Accuracy 0.158, Validation f1 0.064, Validation OOV Accuracy 0.180, Validation Loss 2.950
210 batches ====> Validation Accuracy 0.160, Validation f1 0.070, Validation OOV Accuracy 0.205, Validation Loss 2.946
220 batches ====> Validation Accuracy 0.158, Validation f1 0.064, Validation OOV Accuracy 0.180, Validation Loss 2.944
230 batches ====> Validation Accuracy 0.158, Validation f1 0.065, Validation OOV Accuracy 0.170, Validation Loss 2.940
240 batches ====> Validation Accuracy 0.164, Validation f1 0.076, Validation OOV Accuracy 0.225, Validation Loss 2.934
250 batches ====> Validation Accuracy 0.167, Validation f1 0.078, Validation OOV Accuracy 0.231, Validation Loss 2.930
260 batches ====> Validation Accuracy 0.163, Validation f1 0.073, Validation OOV Accuracy 0.171, Validation Loss 2.926
270 batches ====> Validation Accuracy 0.185, Validation f1 0.095, Validation OOV Accuracy 0.324, Validation Loss 2.918
280 batches ====> Validation Accuracy 0.173, Validation f1 0.085, Validation OOV Accuracy 0.247, Validation Loss 2.913
290 batches ====> Validation Accuracy 0.198, Validation f1 0.101, Validation OOV Accuracy 0.384, Validation Loss 2.909
300 batches ====> Validation Accuracy 0.199, Validation f1 0.102, Validation OOV Accuracy 0.380, Validation Loss 2.898
310 batches ====> Validation Accuracy 0.204, Validation f1 0.103, Validation OOV Accuracy 0.400, Validation Loss 2.890
320 batches ====> Validation Accuracy 0.203, Validation f1 0.104, Validation OOV Accuracy 0.394, Validation Loss 2.880
330 batches ====> Validation Accuracy 0.207, Validation f1 0.104, Validation OOV Accuracy 0.409, Validation Loss 2.869
340 batches ====> Validation Accuracy 0.210, Validation f1 0.105, Validation OOV Accuracy 0.416, Validation Loss 2.853
350 batches ====> Validation Accuracy 0.210, Validation f1 0.103, Validation OOV Accuracy 0.417, Validation Loss 2.838
360 batches ====> Validation Accuracy 0.215, Validation f1 0.108, Validation OOV Accuracy 0.422, Validation Loss 2.820
370 batches ====> Validation Accuracy 0.217, Validation f1 0.109, Validation OOV Accuracy 0.422, Validation Loss 2.801
380 batches ====> Validation Accuracy 0.219, Validation f1 0.109, Validation OOV Accuracy 0.428, Validation Loss 2.783
390 batches ====> Validation Accuracy 0.221, Validation f1 0.112, Validation OOV Accuracy 0.427, Validation Loss 2.761
400 batches ====> Validation Accuracy 0.224, Validation f1 0.111, Validation OOV Accuracy 0.426, Validation Loss 2.739
410 batches ====> Validation Accuracy 0.228, Validation f1 0.115, Validation OOV Accuracy 0.429, Validation Loss 2.717
420 batches ====> Validation Accuracy 0.231, Validation f1 0.117, Validation OOV Accuracy 0.427, Validation Loss 2.693
430 batches ====> Validation Accuracy 0.232, Validation f1 0.116, Validation OOV Accuracy 0.416, Validation Loss 2.667
440 batches ====> Validation Accuracy 0.235, Validation f1 0.119, Validation OOV Accuracy 0.420, Validation Loss 2.638
450 batches ====> Validation Accuracy 0.258, Validation f1 0.149, Validation OOV Accuracy 0.422, Validation Loss 2.605
460 batches ====> Validation Accuracy 0.254, Validation f1 0.141, Validation OOV Accuracy 0.416, Validation Loss 2.569
470 batches ====> Validation Accuracy 0.276, Validation f1 0.159, Validation OOV Accuracy 0.422, Validation Loss 2.524
480 batches ====> Validation Accuracy 0.298, Validation f1 0.174, Validation OOV Accuracy 0.423, Validation Loss 2.474
490 batches ====> Validation Accuracy 0.318, Validation f1 0.195, Validation OOV Accuracy 0.415, Validation Loss 2.420
500 batches ====> Validation Accuracy 0.324, Validation f1 0.197, Validation OOV Accuracy 0.414, Validation Loss 2.362
510 batches ====> Validation Accuracy 0.343, Validation f1 0.228, Validation OOV Accuracy 0.415, Validation Loss 2.300
520 batches ====> Validation Accuracy 0.373, Validation f1 0.254, Validation OOV Accuracy 0.413, Validation Loss 2.236
530 batches ====> Validation Accuracy 0.402, Validation f1 0.280, Validation OOV Accuracy 0.420, Validation Loss 2.172
540 batches ====> Validation Accuracy 0.425, Validation f1 0.302, Validation OOV Accuracy 0.414, Validation Loss 2.108
550 batches ====> Validation Accuracy 0.431, Validation f1 0.305, Validation OOV Accuracy 0.405, Validation Loss 2.048
560 batches ====> Validation Accuracy 0.443, Validation f1 0.323, Validation OOV Accuracy 0.412, Validation Loss 1.987
570 batches ====> Validation Accuracy 0.484, Validation f1 0.372, Validation OOV Accuracy 0.416, Validation Loss 1.931
580 batches ====> Validation Accuracy 0.482, Validation f1 0.373, Validation OOV Accuracy 0.409, Validation Loss 1.879
590 batches ====> Validation Accuracy 0.505, Validation f1 0.398, Validation OOV Accuracy 0.409, Validation Loss 1.825
600 batches ====> Validation Accuracy 0.514, Validation f1 0.411, Validation OOV Accuracy 0.406, Validation Loss 1.772
610 batches ====> Validation Accuracy 0.530, Validation f1 0.434, Validation OOV Accuracy 0.405, Validation Loss 1.720
620 batches ====> Validation Accuracy 0.543, Validation f1 0.447, Validation OOV Accuracy 0.409, Validation Loss 1.665
630 batches ====> Validation Accuracy 0.559, Validation f1 0.471, Validation OOV Accuracy 0.411, Validation Loss 1.613
640 batches ====> Validation Accuracy 0.582, Validation f1 0.504, Validation OOV Accuracy 0.412, Validation Loss 1.557
650 batches ====> Validation Accuracy 0.596, Validation f1 0.520, Validation OOV Accuracy 0.408, Validation Loss 1.505
660 batches ====> Validation Accuracy 0.619, Validation f1 0.550, Validation OOV Accuracy 0.416, Validation Loss 1.455
670 batches ====> Validation Accuracy 0.630, Validation f1 0.563, Validation OOV Accuracy 0.411, Validation Loss 1.410
680 batches ====> Validation Accuracy 0.650, Validation f1 0.593, Validation OOV Accuracy 0.420, Validation Loss 1.363
690 batches ====> Validation Accuracy 0.670, Validation f1 0.620, Validation OOV Accuracy 0.428, Validation Loss 1.319
700 batches ====> Validation Accuracy 0.676, Validation f1 0.623, Validation OOV Accuracy 0.415, Validation Loss 1.283
710 batches ====> Validation Accuracy 0.691, Validation f1 0.641, Validation OOV Accuracy 0.416, Validation Loss 1.244
720 batches ====> Validation Accuracy 0.706, Validation f1 0.660, Validation OOV Accuracy 0.422, Validation Loss 1.205
730 batches ====> Validation Accuracy 0.717, Validation f1 0.676, Validation OOV Accuracy 0.435, Validation Loss 1.169
740 batches ====> Validation Accuracy 0.730, Validation f1 0.692, Validation OOV Accuracy 0.463, Validation Loss 1.130
750 batches ====> Validation Accuracy 0.743, Validation f1 0.708, Validation OOV Accuracy 0.471, Validation Loss 1.095
10 batches ====> Validation Accuracy 0.073, Validation f1 0.036, Validation OOV Accuracy 0.052, Validation Loss 4.189
20 batches ====> Validation Accuracy 0.130, Validation f1 0.039, Validation OOV Accuracy 0.148, Validation Loss 3.812
30 batches ====> Validation Accuracy 0.134, Validation f1 0.037, Validation OOV Accuracy 0.149, Validation Loss 3.431
40 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.151, Validation Loss 3.173
50 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.151, Validation Loss 3.063
60 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.151, Validation Loss 3.026
70 batches ====> Validation Accuracy 0.140, Validation f1 0.035, Validation OOV Accuracy 0.151, Validation Loss 3.007
80 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.150, Validation Loss 2.996
90 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.150, Validation Loss 2.992
100 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.150, Validation Loss 2.986
110 batches ====> Validation Accuracy 0.156, Validation f1 0.056, Validation OOV Accuracy 0.146, Validation Loss 2.980
120 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.182, Validation Loss 2.973
130 batches ====> Validation Accuracy 0.151, Validation f1 0.052, Validation OOV Accuracy 0.146, Validation Loss 2.967
140 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.182, Validation Loss 2.962
150 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.182, Validation Loss 2.963
160 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.182, Validation Loss 2.958
170 batches ====> Validation Accuracy 0.160, Validation f1 0.068, Validation OOV Accuracy 0.204, Validation Loss 2.953
180 batches ====> Validation Accuracy 0.162, Validation f1 0.076, Validation OOV Accuracy 0.241, Validation Loss 2.946
190 batches ====> Validation Accuracy 0.164, Validation f1 0.076, Validation OOV Accuracy 0.232, Validation Loss 2.941
200 batches ====> Validation Accuracy 0.163, Validation f1 0.077, Validation OOV Accuracy 0.238, Validation Loss 2.934
210 batches ====> Validation Accuracy 0.170, Validation f1 0.083, Validation OOV Accuracy 0.310, Validation Loss 2.926
220 batches ====> Validation Accuracy 0.177, Validation f1 0.088, Validation OOV Accuracy 0.314, Validation Loss 2.920
230 batches ====> Validation Accuracy 0.187, Validation f1 0.093, Validation OOV Accuracy 0.366, Validation Loss 2.910
240 batches ====> Validation Accuracy 0.189, Validation f1 0.092, Validation OOV Accuracy 0.386, Validation Loss 2.898
250 batches ====> Validation Accuracy 0.190, Validation f1 0.092, Validation OOV Accuracy 0.402, Validation Loss 2.887
10 batches ====> Validation Accuracy 0.134, Validation f1 0.035, Validation OOV Accuracy 0.140, Validation Loss 4.180
20 batches ====> Validation Accuracy 0.139, Validation f1 0.035, Validation OOV Accuracy 0.146, Validation Loss 3.771
30 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.152, Validation Loss 3.385
40 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.152, Validation Loss 3.150
50 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.152, Validation Loss 3.057
60 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.152, Validation Loss 3.025
70 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.152, Validation Loss 3.011
80 batches ====> Validation Accuracy 0.141, Validation f1 0.035, Validation OOV Accuracy 0.151, Validation Loss 3.000
90 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.151, Validation Loss 2.993
100 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.151, Validation Loss 2.988
110 batches ====> Validation Accuracy 0.156, Validation f1 0.057, Validation OOV Accuracy 0.150, Validation Loss 2.985
120 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.977
130 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.973
140 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.969
150 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.969
160 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.966
170 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.959
180 batches ====> Validation Accuracy 0.157, Validation f1 0.063, Validation OOV Accuracy 0.181, Validation Loss 2.957
190 batches ====> Validation Accuracy 0.158, Validation f1 0.064, Validation OOV Accuracy 0.191, Validation Loss 2.954
200 batches ====> Validation Accuracy 0.161, Validation f1 0.069, Validation OOV Accuracy 0.205, Validation Loss 2.951
210 batches ====> Validation Accuracy 0.160, Validation f1 0.070, Validation OOV Accuracy 0.209, Validation Loss 2.948
220 batches ====> Validation Accuracy 0.165, Validation f1 0.079, Validation OOV Accuracy 0.266, Validation Loss 2.946
230 batches ====> Validation Accuracy 0.163, Validation f1 0.073, Validation OOV Accuracy 0.215, Validation Loss 2.941
240 batches ====> Validation Accuracy 0.161, Validation f1 0.071, Validation OOV Accuracy 0.212, Validation Loss 2.939
250 batches ====> Validation Accuracy 0.162, Validation f1 0.073, Validation OOV Accuracy 0.219, Validation Loss 2.933
