10 batches ====> Validation Accuracy 0.100, Validation OOV Accuracy 0.284, Validation Loss 4.349
20 batches ====> Validation Accuracy 0.092, Validation OOV Accuracy 0.249, Validation Loss 4.149
30 batches ====> Validation Accuracy 0.086, Validation OOV Accuracy 0.255, Validation Loss 3.489
40 batches ====> Validation Accuracy 0.102, Validation OOV Accuracy 0.399, Validation Loss 3.144
50 batches ====> Validation Accuracy 0.141, Validation OOV Accuracy 0.146, Validation Loss 3.047
60 batches ====> Validation Accuracy 0.141, Validation OOV Accuracy 0.146, Validation Loss 3.018
70 batches ====> Validation Accuracy 0.141, Validation OOV Accuracy 0.146, Validation Loss 3.004
80 batches ====> Validation Accuracy 0.156, Validation OOV Accuracy 0.146, Validation Loss 2.995
90 batches ====> Validation Accuracy 0.156, Validation OOV Accuracy 0.146, Validation Loss 2.989
100 batches ====> Validation Accuracy 0.156, Validation OOV Accuracy 0.145, Validation Loss 2.986
110 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.179, Validation Loss 2.978
120 batches ====> Validation Accuracy 0.152, Validation OOV Accuracy 0.141, Validation Loss 2.974
130 batches ====> Validation Accuracy 0.152, Validation OOV Accuracy 0.141, Validation Loss 2.972
140 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.179, Validation Loss 2.967
150 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.179, Validation Loss 2.962
160 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.179, Validation Loss 2.960
170 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.179, Validation Loss 2.957
180 batches ====> Validation Accuracy 0.157, Validation OOV Accuracy 0.178, Validation Loss 2.955
190 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.179, Validation Loss 2.951
200 batches ====> Validation Accuracy 0.160, Validation OOV Accuracy 0.206, Validation Loss 2.951
210 batches ====> Validation Accuracy 0.160, Validation OOV Accuracy 0.205, Validation Loss 2.948
220 batches ====> Validation Accuracy 0.157, Validation OOV Accuracy 0.178, Validation Loss 2.949
230 batches ====> Validation Accuracy 0.161, Validation OOV Accuracy 0.217, Validation Loss 2.949
240 batches ====> Validation Accuracy 0.161, Validation OOV Accuracy 0.218, Validation Loss 2.944
250 batches ====> Validation Accuracy 0.156, Validation OOV Accuracy 0.138, Validation Loss 2.946
260 batches ====> Validation Accuracy 0.161, Validation OOV Accuracy 0.215, Validation Loss 2.944
270 batches ====> Validation Accuracy 0.166, Validation OOV Accuracy 0.234, Validation Loss 2.943
280 batches ====> Validation Accuracy 0.164, Validation OOV Accuracy 0.226, Validation Loss 2.941
290 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.228, Validation Loss 2.941
300 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.233, Validation Loss 2.939
310 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.227, Validation Loss 2.939
320 batches ====> Validation Accuracy 0.166, Validation OOV Accuracy 0.239, Validation Loss 2.936
330 batches ====> Validation Accuracy 0.166, Validation OOV Accuracy 0.234, Validation Loss 2.937
340 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.233, Validation Loss 2.935
350 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.233, Validation Loss 2.937
360 batches ====> Validation Accuracy 0.165, Validation OOV Accuracy 0.243, Validation Loss 2.937
370 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.228, Validation Loss 2.934
380 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.228, Validation Loss 2.936
390 batches ====> Validation Accuracy 0.166, Validation OOV Accuracy 0.238, Validation Loss 2.933
400 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.238, Validation Loss 2.932
410 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.234, Validation Loss 2.933
420 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.233, Validation Loss 2.932
430 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.233, Validation Loss 2.931
440 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.232, Validation Loss 2.929
450 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.240, Validation Loss 2.929
460 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.239, Validation Loss 2.928
470 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.232, Validation Loss 2.929
480 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.239, Validation Loss 2.930
490 batches ====> Validation Accuracy 0.167, Validation OOV Accuracy 0.242, Validation Loss 2.927
500 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.228, Validation Loss 2.928
510 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.237, Validation Loss 2.927
520 batches ====> Validation Accuracy 0.166, Validation OOV Accuracy 0.242, Validation Loss 2.926
530 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.240, Validation Loss 2.925
540 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.236, Validation Loss 2.925
550 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.241, Validation Loss 2.923
560 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.240, Validation Loss 2.923
570 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.243, Validation Loss 2.920
580 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.243, Validation Loss 2.921
590 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.244, Validation Loss 2.919
600 batches ====> Validation Accuracy 0.170, Validation OOV Accuracy 0.239, Validation Loss 2.921
610 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.247, Validation Loss 2.922
